Date,Close/Last,Volume,Open,High,Low
12/19/2025,617.05,60369830,611.95,617.62,611.87
12/18/2025,609.11,78875820,609.80,612.93,606.92
12/17/2025,600.41,70654330,613.06,613.65,600.28
12/16/2025,611.75,55152820,608.26,613.51,606.9101
12/15/2025,610.54,49538200,618.37,618.42,609.32
12/12/2025,613.62,75158730,622.08,623.54,611.36
12/11/2025,625.58,58272840,623.82,625.78,617.72
12/10/2025,627.61,55031380,623.85,629.21,620.99
12/09/2025,625.05,37156000,623.01,625.87,621.00
12/08/2025,624.28,43462410,627.21,628.84,621.69
12/05/2025,625.48,53614170,624.38,628.92,623.71
12/04/2025,622.94,47067750,624.93,624.94,619.54
12/03/2025,623.52,47841630,619.62,624.22,618.03
12/02/2025,622.00,54541830,619.46,623.75,617.59
12/01/2025,617.17,40957590,613.63,619.4401,612.52
11/28/2025,619.25,23034390,616.11,619.32,615.4174
11/26/2025,614.27,42393600,612.51,616.19,610.39
11/25/2025,608.89,57560870,603.51,610.2601,597.32
11/24/2025,605.16,60168150,595.28,606.68,595.16
11/21/2025,590.07,103344200,587.47,596.98,580.74
11/20/2025,585.67,117743200,611.62,614.03,584.75
11/19/2025,599.87,73111490,597.07,606.16,594.59
11/18/2025,596.31,83327280,599.62,602.31,591.34
11/17/2025,603.66,63850370,606.30,612.48,599.87
11/14/2025,608.86,80087290,599.55,613.35,597.17
11/13/2025,608.40,71333630,617.54,618.12,606.08
11/12/2025,621.08,47444380,624.84,624.86,617.81
11/11/2025,621.57,44868840,620.57,622.72,617.52
11/10/2025,623.23,55919930,618.92,624.31,616.89
11/07/2025,609.74,81835390,608.31,609.95,598.67
11/06/2025,611.67,72115130,621.79,622.04,610.30
11/05/2025,623.28,48688480,618.49,626.60,617.21
11/04/2025,619.25,63830770,623.28,626.95,618.455
11/03/2025,632.08,37154310,635.11,635.82,629.85
10/31/2025,629.07,66305150,634.17,634.20,626.69
10/30/2025,626.05,61628620,632.17,633.50,625.94
10/29/2025,635.77,67422810,635.59,637.01,630.25
10/28/2025,632.92,61195730,630.36,634.68,629.25
10/27/2025,628.09,54098610,624.52,628.55,624.03
10/24/2025,617.10,47632470,615.99,618.42,615.13
10/23/2025,610.58,42844300,604.91,611.37,604.52
10/22/2025,605.49,61478800,610.82,611.41,599.74
10/21/2025,611.38,44538160,611.64,612.7213,609.32
10/20/2025,611.54,45761700,607.14,612.80,607.065
10/17/2025,603.93,72024870,597.95,605.51,596.37
10/16/2025,599.99,70981960,605.11,608.31,595.50
10/15/2025,602.22,62805460,604.01,606.70,595.93
10/14/2025,598.00,69203190,595.31,602.69,590.13
10/13/2025,602.01,65872580,599.68,602.95,597.23
10/10/2025,589.50,97614780,611.40,613.18,589.05
10/09/2025,610.70,45550960,611.48,611.61,607.48
10/08/2025,611.44,50629750,605.41,611.75,605.26
10/07/2025,604.51,58209460,609.02,609.71,603.03
10/06/2025,607.71,41962120,608.45,609.36,605.97
10/03/2025,603.18,46482100,606.51,607.3255,601.385
10/02/2025,605.73,43765410,607.06,607.16,602.93
10/01/2025,603.25,46899610,597.17,603.79,596.34
09/30/2025,600.37,46533810,598.43,600.71,596.10
09/29/2025,598.73,48332930,599.11,602.05,597.41
09/26/2025,595.97,54337420,594.35,596.30,591.06
09/25/2025,593.53,70920210,592.20,595.115,588.50
09/24/2025,596.10,49850300,599.58,599.90,593.36
09/23/2025,598.20,64635490,602.37,602.57,596.98
09/22/2025,602.20,57154770,597.74,602.87,597.72
09/19/2025,599.35,58196110,597.33,600.05,595.85
09/18/2025,595.32,61069290,594.91,598.14,592.96
09/17/2025,590.00,69384820,591.10,591.75,584.365
09/16/2025,591.18,36942130,592.61,592.86,590.49
09/15/2025,591.68,44360320,588.44,591.79,588.295
09/12/2025,586.66,50745890,585.04,587.86,584.10
09/11/2025,584.08,44745770,583.24,584.88,581.62
09/10/2025,580.70,49307960,583.74,583.77,578.55
09/09/2025,580.51,44007590,579.67,580.94,577.04
09/08/2025,578.87,46371350,578.37,580.84,577.77
09/05/2025,576.06,68342530,580.49,581.12,571.53
09/04/2025,575.23,47526280,570.74,575.60,569.025
09/03/2025,570.07,54230210,569.23,571.695,566.725
09/02/2025,565.62,65876770,561.31,565.965,559.535
08/29/2025,570.40,56030410,574.655,575.03,568.54
08/28/2025,577.08,46787860,574.11,578.00,572.46
08/27/2025,573.49,36927140,571.59,574.405,570.37
08/26/2025,572.61,34103010,569.83,572.92,568.80
08/25/2025,570.32,34044750,570.40,573.2871,569.16
08/22/2025,571.97,51502130,564.67,573.99,563.27
08/21/2025,563.28,46436900,564.35,566.49,560.98
08/20/2025,565.90,76781090,568.33,568.45,558.84
08/19/2025,569.28,53752640,576.39,576.56,568.25
08/18/2025,577.11,29830960,576.44,577.765,575.2412
08/15/2025,577.34,49480160,579.80,579.84,575.5743
08/14/2025,579.89,45425040,578.28,581.88,577.91
08/13/2025,580.34,41209290,582.76,583.3199,578.94
08/12/2025,580.05,42271440,575.16,580.35,572.485
08/11/2025,572.85,33112920,574.69,576.80,571.57
08/08/2025,574.55,35255470,570.45,574.77,570.15
08/07/2025,569.24,44462970,571.67,573.32,565.11
08/06/2025,567.32,41823680,561.11,567.76,560.63
08/05/2025,560.27,48666640,565.39,566.5607,559.73
08/04/2025,564.10,47669750,559.05,564.315,558.95
08/01/2025,553.88,69400790,558.83,559.02,551.68
07/31/2025,565.01,64613590,574.54,574.63,563.87
07/30/2025,568.02,43433780,568.18,570.62,565.05
07/29/2025,567.26,45463320,570.76,572.11,566.53
07/28/2025,568.14,31498740,567.74,569.04,566.87
07/25/2025,566.37,30630810,564.93,567.695,564.27
07/24/2025,565.01,42275540,565.13,566.24,563.295
07/23/2025,563.81,40215260,562.34,563.85,559.58
07/22/2025,561.25,43270650,564.30,564.35,558.61
07/21/2025,564.17,39595210,562.09,566.06,562.06
07/18/2025,561.26,50484700,563.12,564.7262,559.98
07/17/2025,561.80,40423780,558.02,562.31,557.21
07/16/2025,557.29,52314710,557.28,560.21,551.56
07/15/2025,556.72,43277660,560.25,560.80,556.66
07/14/2025,556.21,36453310,553.99,556.945,551.63
07/11/2025,554.20,39618640,553.30,555.79,552.05
07/10/2025,555.45,34710910,556.89,557.30,552.75
07/09/2025,556.25,43045530,554.48,557.63,553.10
07/08/2025,552.34,36153260,553.38,554.01,551.10
07/07/2025,552.03,45349320,553.52,554.34,549.58
07/03/2025,556.22,26443520,553.18,557.20,553.18
07/02/2025,550.80,36538280,546.16,551.00,546.12
07/01/2025,546.99,56166740,549.73,550.71,544.66
06/30/2025,551.64,45548740,551.26,552.80,549.01
06/27/2025,548.09,57577150,547.26,549.99,544.545
06/26/2025,546.22,43811430,543.35,546.67,541.52
06/25/2025,541.16,44804170,542.06,543.31,539.38
06/24/2025,539.78,45441980,536.89,540.70,536.27
06/23/2025,531.65,50666150,526.81,532.17,523.65
06/20/2025,526.83,61643520,532.26,533.56,524.88
06/18/2025,528.99,43983520,530.10,532.55,527.40
06/17/2025,529.08,42180870,531.71,533.325,527.91
06/16/2025,534.29,37622050,530.50,535.37,530.45
06/13/2025,526.96,55814440,527.68,531.87,525.73
06/12/2025,533.66,34104890,531.09,534.6438,530.84
06/11/2025,532.41,53701030,535.62,536.78,530.11
06/10/2025,534.21,40664800,531.17,534.90,528.89
06/09/2025,530.70,33688670,530.14,532.35,529.01
06/06/2025,529.92,42467020,530.00,531.80,528.21
06/05/2025,524.79,61286620,530.18,533.05,522.66
06/04/2025,528.77,41359320,528.01,529.84,525.9694
06/03/2025,527.30,44070330,523.56,528.74,522.69
06/02/2025,523.21,44762820,517.24,523.45,515.97
05/30/2025,519.11,67662840,519.44,520.68,511.93
05/29/2025,519.93,58724070,526.33,526.48,517.32
05/28/2025,518.91,46637180,522.18,523.68,518.39
05/27/2025,521.22,47226320,516.15,521.71,514.59
05/23/2025,509.24,58368080,506.18,511.84,505.58
05/22/2025,514.00,55607170,513.66,517.71,512.30
05/21/2025,513.04,71292830,516.27,523.00,511.24
05/20/2025,520.27,42517560,519.47,520.93,516.66
05/19/2025,522.01,52536150,514.24,522.53,514.24
05/16/2025,521.51,48394600,520.66,521.70,517.10
05/15/2025,519.25,50153280,516.52,521.93,515.17
05/14/2025,518.68,47014520,516.77,519.2279,515.75
05/13/2025,515.59,53269570,509.16,517.39,508.42
05/12/2025,507.85,45090620,506.99,507.89,501.48
05/09/2025,487.97,27767420,490.21,491.54,486.195
05/08/2025,488.29,39577590,488.53,492.70,484.17
05/07/2025,483.30,38109860,482.08,485.80,476.782
05/06/2025,481.41,32786310,479.56,485.05,478.19
05/05/2025,485.93,28309490,484.60,489.03,484.10
05/02/2025,488.83,39218080,486.54,490.91,484.83
05/01/2025,481.68,43316540,483.41,487.18,480.74
04/30/2025,475.47,46810610,467.13,477.20,462.43
04/29/2025,475.53,30613120,470.17,476.4243,469.59
04/28/2025,472.41,33550780,473.03,474.808,466.03
04/25/2025,472.56,38697060,466.97,473.09,465.39
04/24/2025,467.35,45956140,456.48,467.66,455.83
04/23/2025,454.56,55801140,458.17,463.38,452.88
04/22/2025,444.48,52304390,438.82,447.58,437.62
04/21/2025,433.11,44149310,438.23,439.08,427.93
04/17/2025,444.10,44837050,447.17,447.75,441.36
04/16/2025,444.18,48980550,449.03,452.62,437.76
04/15/2025,457.99,35404210,458.54,462.38,456.15
04/14/2025,457.48,43941180,464.46,465.05,452.63
04/11/2025,454.40,52483780,444.65,455.79,441.33
04/10/2025,446.18,108384100,453.56,455.59,432.63
04/09/2025,466.00,142876900,415.57,467.83,415.43
04/08/2025,416.06,101248100,438.16,443.1384,409.79
04/07/2025,423.69,161557000,408.66,443.14,402.39
04/04/2025,422.67,117088400,438.14,440.37,422.67
04/03/2025,450.66,70456340,456.44,460.07,450.14
04/02/2025,476.15,49894490,466.12,479.56,465.86
04/01/2025,472.70,41156230,467.30,473.63,464.42
03/31/2025,468.92,53000300,461.92,469.86,457.33
03/28/2025,468.94,46363800,479.81,480.52,468.05
03/27/2025,481.62,33469820,482.41,486.5799,480.25
03/26/2025,484.38,35043360,492.30,493.16,482.82
03/25/2025,493.46,26035240,491.39,493.62,490.42
03/24/2025,490.66,34567190,487.74,491.51,484.40
03/21/2025,480.84,42234870,474.08,481.61,472.905
03/20/2025,479.26,36780550,476.88,484.55,476.18
03/19/2025,480.89,40430330,476.81,485.33,474.87
03/18/2025,474.54,39072270,479.41,479.61,472.41
03/17/2025,482.77,41744350,479.61,485.84,477.80
03/14/2025,479.66,43563010,473.73,480.56,473.12
03/13/2025,468.34,46563350,476.25,476.2801,466.43
03/12/2025,476.92,46971080,479.16,481.06,471.79
03/11/2025,471.60,68760770,472.35,478.805,467.01
03/10/2025,472.73,76668030,483.45,483.97,468.66
03/07/2025,491.79,54714730,487.16,493.28,480.53
03/06/2025,488.20,57574330,493.69,498.58,486.20
03/05/2025,502.01,46323730,496.20,503.63,491.26
03/04/2025,495.55,67875400,494.18,503.74,487.735
03/03/2025,497.05,44587200,511.52,513.04,493.58
02/28/2025,508.17,47654040,500.13,508.78,496.93
02/27/2025,500.27,52447970,518.13,519.0699,500.05
02/26/2025,514.56,34457620,515.53,519.66,511.37
02/25/2025,513.32,48940030,519.24,519.32,509.44
02/24/2025,519.87,39268390,527.88,529.069,519.53
02/21/2025,526.08,47093750,538.38,538.40,525.71
02/20/2025,537.23,26550750,538.73,539.10,532.46
02/19/2025,539.52,19666860,538.57,540.81,536.46
02/18/2025,539.37,20565030,539.73,540.00,536.04
02/14/2025,538.15,17862570,536.005,538.84,535.67
02/13/2025,535.90,28714800,529.98,536.22,529.19
02/12/2025,528.30,25009360,522.30,529.19,521.95
02/11/2025,527.99,19325500,525.96,529.92,525.83
02/10/2025,529.25,20852780,527.22,530.3571,526.75
02/07/2025,522.92,29605470,530.14,532.10,522.19
02/06/2025,529.60,19434450,527.36,529.81,525.7413
02/05/2025,526.85,21134070,521.82,527.01,520.62
02/04/2025,524.47,26046750,518.63,525.11,518.23
02/03/2025,518.11,40580840,513.47,520.8496,511.05
01/31/2025,522.29,38845470,526.92,531.5178,521.19
01/30/2025,523.05,27431300,523.71,526.095,518.21
01/29/2025,520.83,26649010,522.46,522.59,516.8988
01/28/2025,521.81,33194210,515.22,523.00,511.78
01/27/2025,514.21,60771700,511.00,517.99,510.15
01/24/2025,529.63,19878250,533.02,533.79,528.15
01/23/2025,532.64,23096590,529.04,532.76,528.45
01/22/2025,531.51,33592990,529.57,533.82,529.26
01/21/2025,524.80,23627970,524.48,525.97,520.06
01/17/2025,521.74,51837940,522.85,524.0733,513.1086
01/16/2025,513.08,28229040,518.98,519.0599,512.95
01/15/2025,516.70,34957550,513.03,517.85,511.46
01/14/2025,505.08,33737240,508.74,510.155,501.59
01/13/2025,505.56,31694210,501.20,506.02,499.70
01/10/2025,507.19,40532500,511.48,511.58,503.92
01/08/2025,515.27,30777780,515.08,516.9199,510.57
01/07/2025,515.18,36690270,525.59,525.99,513.28
01/06/2025,524.54,36109730,524.02,527.92,522.03
01/03/2025,518.58,29059520,513.35,519.6454,512.53
01/02/2025,510.23,36389780,514.30,516.64,505.71
12/31/2024,511.23,29117030,516.90,517.66,510.26
12/30/2024,515.61,34584030,515.51,519.36,511.83
12/27/2024,522.56,33839560,526.01,526.45,517.86
12/26/2024,529.60,19141490,528.32,531.24,526.31
12/24/2024,529.96,17558220,524.83,530.05,524.19
12/23/2024,522.87,29672800,519.55,523.25,516.13
12/20/2024,518.66,60529960,510.44,524.82,509.29
12/19/2024,514.17,46441750,521.19,521.7599,513.83
12/18/2024,516.47,54703160,535.15,536.8799,515.01
12/17/2024,535.80,28579070,536.36,537.48,534.13
12/16/2024,538.17,31979860,533.08,539.15,533.00
12/13/2024,530.53,28780410,530.46,533.1661,527.3001
12/12/2024,526.50,23577500,527.68,528.96,526.02
12/11/2024,529.92,32168580,525.00,530.61,524.59
12/10/2024,520.60,24350040,523.62,525.38,519.16
12/09/2024,522.38,20674410,525.55,526.35,521.22
12/06/2024,526.48,23762610,522.48,526.72,522.35
12/05/2024,521.81,18169630,523.31,524.0399,521.42
12/04/2024,523.26,26086220,520.32,523.52,519.60
12/03/2024,516.87,18597900,513.95,517.15,513.37
12/02/2024,515.29,25147170,511.01,516.26,510.62
11/29/2024,509.74,15333970,505.93,510.34,505.31
11/27/2024,505.30,24957440,508.17,508.24,501.93
11/26/2024,509.31,26557060,508.08,510.14,507.23
11/25/2024,506.59,26375170,509.90,511.4525,504.2625
11/22/2024,505.79,23826640,504.42,506.53,502.78
11/21/2024,504.98,34526740,506.24,506.96,497.56
11/20/2024,503.17,29565490,503.16,503.48,496.555
11/19/2024,503.46,24523020,497.42,503.9536,497.08
11/18/2024,500.02,27192660,498.13,502.14,496.73
11/15/2024,496.57,51461050,502.94,503.33,494.49
11/14/2024,508.69,28679520,511.91,512.79,507.77
11/13/2024,512.25,24567420,512.40,514.98,509.95
11/12/2024,512.91,25835290,513.77,514.66,509.83
11/11/2024,513.84,24167480,515.37,515.58,510.92
11/08/2024,514.14,22924480,513.035,514.9175,512.41
11/07/2024,513.54,32853120,508.40,514.33,508.34
11/06/2024,505.58,43082200,500.56,506.41,499.60
11/05/2024,492.21,24353620,487.61,492.88,487.52
11/04/2024,486.01,23291580,486.82,489.38,484.2545
11/01/2024,487.43,33655760,485.50,490.7507,485.20
10/31/2024,483.85,41245250,492.38,492.43,483.75
10/30/2024,496.38,29755960,499.39,500.35,495.89
10/29/2024,500.16,28014060,495.72,501.35,493.85
10/28/2024,495.40,20477780,498.46,498.52,495.10
10/25/2024,495.32,38762140,495.14,500.28,494.43
10/24/2024,492.32,22024930,492.11,493.00,489.44
10/23/2024,488.36,39346570,493.59,494.25,485.05
10/22/2024,495.96,26685840,492.73,497.445,491.97
10/21/2024,495.42,30336550,493.25,496.23,491.31
10/18/2024,494.47,25335030,494.06,495.57,493.30
10/17/2024,491.25,27210660,496.44,496.49,491.1901
10/16/2024,490.91,22996780,491.18,491.69,487.57
10/15/2024,490.85,34784510,497.83,498.50,488.68
10/14/2024,497.50,26060150,495.77,498.83,495.26
10/11/2024,493.36,20644500,490.74,494.39,490.17
10/10/2024,492.59,25750450,490.85,494.47,489.53
10/09/2024,493.15,24994950,489.00,493.73,487.95
10/08/2024,489.30,28272020,484.66,489.99,483.845
10/07/2024,482.10,24975120,485.39,486.57,480.87
10/04/2024,487.32,30744910,487.45,487.88,482.385
10/03/2024,481.59,25337220,479.74,484.545,478.99
10/02/2024,481.95,23744050,480.36,483.88,477.72
10/01/2024,481.27,42735420,487.70,488.00,477.40
09/30/2024,488.07,30330610,485.78,488.41,482.92
09/27/2024,486.75,22851120,490.50,490.64,485.56
09/26/2024,489.47,32020210,493.37,493.70,485.80
09/25/2024,485.82,26549870,484.74,487.79,484.56
09/24/2024,485.37,25952640,484.46,486.33,480.17
09/23/2024,483.04,24842970,482.95,484.14,481.60
09/20/2024,482.44,34577660,482.49,483.69,478.30
09/19/2024,483.36,52782520,482.61,486.23,480.49
09/18/2024,471.44,39909220,474.70,478.83,470.83
09/17/2024,473.49,30084440,476.29,477.60,470.97
09/16/2024,473.24,22585600,473.19,473.8599,469.89
09/13/2024,475.34,29111850,472.48,476.53,472.25
09/12/2024,473.22,40175460,468.65,474.04,466.8491
09/11/2024,468.62,57842990,459.91,469.37,451.28
09/10/2024,458.66,29680320,456.24,459.17,452.23
09/09/2024,454.46,32981170,453.06,455.46,449.8234
09/06/2024,448.69,50624390,460.33,461.22,448.19
09/05/2024,461.04,34452390,458.97,465.36,457.939
09/04/2024,460.61,32505100,458.67,464.45,457.73
09/03/2024,461.81,44985220,473.20,473.33,459.4101
08/30/2024,476.27,33466470,475.04,476.90,470.51
08/29/2024,470.66,41081470,473.28,477.93,469.372
08/28/2024,471.35,37372440,476.29,477.02,467.89
08/27/2024,476.76,27510000,473.69,477.84,471.71
08/26/2024,475.34,27452640,479.45,480.38,473.24
08/23/2024,480.00,36061510,479.24,482.74,475.28
08/22/2024,474.85,37739580,484.84,485.54,473.81
08/21/2024,482.50,25658790,481.05,484.37,479.32
08/20/2024,480.26,29209340,480.35,482.94,478.55
08/19/2024,481.27,23737670,475.17,481.31,473.37
08/16/2024,475.03,38383620,472.62,476.41,471.65
08/15/2024,474.42,38280570,468.76,474.82,468.38
08/14/2024,462.73,34733750,463.51,465.1093,458.40
08/13/2024,462.58,40084460,455.82,462.85,455.68
08/12/2024,451.38,27795010,451.39,454.37,448.5546
08/09/2024,450.41,33573980,446.74,452.06,445.61
08/08/2024,448.07,47890070,441.06,448.99,437.15
08/07/2024,434.77,54929160,446.49,449.00,434.37
08/06/2024,439.53,63164430,437.23,447.07,434.56
08/05/2024,435.37,87483450,424.71,442.29,423.45
08/02/2024,448.75,66323240,450.89,453.57,444.47
08/01/2024,459.66,56653900,471.76,475.55,455.98
07/31/2024,471.07,44552130,467.87,472.79,466.41
07/30/2024,457.53,41317210,465.85,466.561,454.15
07/29/2024,463.90,28218480,465.71,467.91,461.615
07/26/2024,462.97,39992130,462.65,465.93,459.77
07/25/2024,458.27,59256760,463.72,467.94,455.63
07/24/2024,463.38,58818630,473.82,474.19,462.51
07/23/2024,480.62,23282450,481.41,484.43,480.14
07/22/2024,482.32,40300000,481.16,483.35,477.7068
07/19/2024,475.24,42042860,479.15,481.69,473.94
07/18/2024,479.49,49347360,485.53,485.71,476.27
07/17/2024,481.77,56268770,488.28,488.7984,481.70
07/16/2024,496.34,25950620,497.62,498.44,493.15
07/15/2024,496.15,31151390,496.61,501.01,494.09
07/12/2024,494.82,37109400,492.51,499.62,492.04
07/11/2024,491.93,49966590,503.07,503.28,490.725
07/10/2024,502.96,28046900,499.71,503.52,498.39
07/09/2024,497.77,25701250,498.87,500.00,496.24
07/08/2024,497.34,22109420,496.53,497.895,495.50
07/05/2024,496.16,28495940,491.89,496.60,491.59
07/03/2024,491.04,18064880,486.22,491.17,486.22
07/02/2024,486.98,26723560,480.41,487.04,480.28
07/01/2024,481.92,24898340,480.04,482.49,476.255
06/28/2024,479.11,34881580,482.41,487.20,478.46
06/27/2024,481.61,26222140,480.12,483.10,479.30
06/26/2024,480.37,22737110,478.55,480.92,478.13
06/25/2024,479.38,29250210,476.07,479.68,475.12
06/24/2024,473.96,37750970,478.18,479.93,473.82
06/21/2024,480.18,39432910,481.19,482.535,478.67
06/20/2024,481.47,33918680,486.42,486.8387,479.62
06/18/2024,485.21,24438570,485.01,485.90,483.43
06/17/2024,485.06,37054500,479.46,486.86,478.14
06/14/2024,479.19,23372620,476.52,479.26,476.05
06/13/2024,476.72,25859010,477.72,478.39,474.42
06/12/2024,474.15,34532590,471.99,476.50,471.29
06/11/2024,468.02,22053280,463.54,468.14,462.03
06/10/2024,464.83,20719770,461.82,465.19,461.53
06/07/2024,462.96,25829720,463.00,465.74,461.84
06/06/2024,463.37,21966820,464.22,464.54,462.19
06/05/2024,463.53,33817410,457.98,463.61,454.408
06/04/2024,454.37,23767440,452.87,455.575,451.1311
06/03/2024,453.13,32997470,454.57,455.58,447.90
05/31/2024,450.71,55941300,451.78,452.48,443.055
05/30/2024,451.55,30714120,455.50,455.64,450.21
05/29/2024,456.44,29739240,455.48,458.24,455.34
05/28/2024,459.68,26216820,459.18,459.74,456.69
05/24/2024,457.95,29669460,455.29,459.23,453.5674
05/23/2024,453.66,40899230,460.55,460.58,451.8503
05/22/2024,455.71,25120040,456.06,456.82,453.08
05/21/2024,455.80,23167720,453.04,455.99,452.84
05/20/2024,454.91,24474230,451.98,455.58,451.785
05/17/2024,451.76,35803720,452.11,452.72,449.5399
05/16/2024,451.98,34780410,452.71,454.69,451.81
05/15/2024,452.90,41464650,448.43,453.15,446.90
05/14/2024,445.93,34478320,442.65,446.465,442.46
05/13/2024,443.08,22994190,443.99,444.09,441.65
05/10/2024,442.06,27116570,442.54,444.31,440.499
05/09/2024,441.02,24580120,440.33,441.60,438.46
05/08/2024,440.06,24896720,437.67,441.48,437.55
05/07/2024,440.32,30996090,440.70,441.97,439.58
05/06/2024,440.25,30227200,437.30,440.34,436.52
05/03/2024,435.48,48515250,434.44,436.48,432.62
05/02/2024,426.90,36559010,425.30,427.81,420.63
05/01/2024,421.52,52251710,423.15,430.14,420.66
04/30/2024,424.59,43665930,431.15,432.56,424.51
04/29/2024,432.75,30022160,433.13,433.76,429.98
04/26/2024,431.00,41874910,427.62,432.55,426.92
04/25/2024,424.45,57392170,419.24,425.32,418.14
04/24/2024,426.51,48440310,428.20,429.73,424.20
04/23/2024,425.07,44384740,420.77,426.28,418.8715
04/22/2024,418.82,47807660,417.31,421.18,413.94
04/19/2024,414.65,75230990,422.22,422.75,413.07
04/18/2024,423.41,46549360,426.49,428.24,422.83
04/17/2024,425.84,56880540,433.10,433.12,424.90
04/16/2024,431.10,47618960,430.90,433.76,429.70
04/15/2024,431.06,63453620,442.06,442.15,430.21
04/12/2024,438.27,53665000,441.10,442.24,436.88
04/11/2024,445.37,45474550,440.26,446.33,437.96
04/10/2024,438.37,61502190,437.00,439.24,436.28
04/09/2024,442.23,39521570,442.96,443.24,437.44
04/08/2024,440.60,28144940,441.41,442.50,439.20
04/05/2024,440.47,54744630,436.78,443.17,435.96
04/04/2024,435.34,57267660,446.33,446.95,435.11
04/03/2024,442.10,39949750,438.96,444.00,438.95
04/02/2024,441.11,44259670,440.08,441.43,438.03
04/01/2024,444.95,38728950,444.97,447.53,443.02
03/28/2024,444.01,36839640,444.78,445.64,443.65
03/27/2024,444.83,41359240,446.44,446.54,441.93
03/26/2024,443.32,34142040,446.30,447.225,443.09
03/25/2024,444.76,27789150,443.55,446.26,442.54
03/22/2024,446.38,28253900,445.35,447.49,444.49
03/21/2024,445.87,39345650,448.88,449.34,445.67
03/20/2024,443.77,43653490,439.78,444.11,438.06
03/19/2024,438.57,43004110,435.45,438.98,433.33
03/18/2024,437.48,47323800,438.73,441.04,437.24
03/15/2024,433.92,73069820,436.07,438.8733,432.7417
03/14/2024,439.14,52195210,441.50,442.03,436.39
03/13/2024,440.25,37928690,442.65,442.67,439.12
03/12/2024,443.66,55300910,439.73,444.02,436.46
03/11/2024,437.39,45859990,437.51,438.66,435.44
03/08/2024,439.02,72095960,445.81,448.64,438.34
03/07/2024,445.45,44526670,442.42,446.72,440.86
03/06/2024,438.79,46234460,440.32,441.99,436.89
03/05/2024,436.05,57917140,440.94,440.95,433.65
03/04/2024,444.02,34325690,445.61,446.04,443.77
03/01/2024,445.61,43853030,439.90,446.58,439.84
02/29/2024,439.00,42495150,438.23,440.09,435.02
02/28/2024,435.27,32938820,435.43,436.67,434.30
02/27/2024,437.60,33713220,437.67,437.99,435.025
02/26/2024,436.55,33043240,437.60,438.60,436.355
02/23/2024,436.78,39853860,439.65,440.59,435.79
02/22/2024,438.07,53887750,434.49,439.12,433.71
02/21/2024,425.61,50179700,424.55,425.70,421.63
02/20/2024,427.32,53999450,428.55,430.08,423.50
02/16/2024,430.57,53716480,434.89,434.99,429.85
02/15/2024,434.51,38796140,433.92,434.98,431.33
02/14/2024,433.22,45092720,431.26,433.65,428.8799
02/13/2024,428.55,64491670,427.28,431.27,425.3305
02/12/2024,435.34,33203310,436.94,439.14,434.65
02/09/2024,437.05,36943910,433.94,437.845,433.1401
02/08/2024,432.79,29889890,432.11,433.56,431.42
02/07/2024,431.99,37712660,430.41,432.83,429.09
02/06/2024,427.59,35846130,429.61,430.22,425.22
02/05/2024,428.45,39889210,429.07,429.61,425.00
02/02/2024,429.01,59602440,423.80,430.24,422.79
02/01/2024,421.88,51008620,418.79,422.375,417.81
